generation,x,y,r,c,score
0,251.000000,250.000000,29.000000,a,29.000000
1,251.000000,235.000000,45.000000,a,45.000000
2,251.000000,235.000000,50.000000,a,50.000000
3,251.000000,235.000000,50.000000,a,50.000000
4,251.000000,235.000000,50.000000,a,50.000000
5,251.000000,195.000000,50.000000,a,50.000000
6,251.000000,235.000000,50.000000,a,50.000000
7,251.000000,195.000000,50.000000,a,50.000000
8,251.000000,195.000000,53.000000,a,53.000000
9,251.000000,195.000000,53.000000,a,53.000000
10,251.000000,195.000000,54.000000,a,54.000000
11,300.000000,195.000000,55.000000,a,55.000000
12,251.000000,195.000000,55.000000,a,55.000000
13,251.000000,195.000000,55.000000,a,55.000000
14,251.000000,195.000000,55.000000,a,55.000000
15,251.000000,195.000000,55.000000,a,55.000000
16,251.000000,195.000000,55.000000,a,55.000000
17,251.000000,195.000000,55.000000,a,55.000000
18,281.000000,199.000000,55.000000,a,55.000000
19,251.000000,195.000000,55.000000,a,55.000000
20,251.000000,195.000000,55.000000,a,55.000000
21,251.000000,195.000000,55.000000,a,55.000000
22,251.000000,195.000000,55.000000,a,55.000000
23,251.000000,195.000000,55.000000,a,55.000000
24,251.000000,195.000000,55.000000,a,55.000000
25,251.000000,195.000000,55.000000,a,55.000000
26,251.000000,195.000000,55.000000,a,55.000000
27,251.000000,195.000000,55.000000,a,55.000000
28,280.000000,195.000000,55.000000,a,55.000000
29,251.000000,195.000000,55.000000,a,55.000000
30,251.000000,195.000000,55.000000,a,55.000000
31,251.000000,195.000000,55.000000,a,55.000000
32,279.000000,195.000000,61.000000,a,61.000000
33,279.000000,195.000000,61.000000,a,61.000000
34,293.000000,195.000000,61.000000,a,61.000000
35,279.000000,195.000000,62.000000,a,62.000000
36,293.000000,195.000000,62.000000,a,62.000000
37,263.000000,195.000000,62.000000,a,62.000000
38,280.000000,195.000000,62.000000,a,62.000000
39,280.000000,195.000000,64.000000,a,64.000000
40,280.000000,195.000000,64.000000,a,64.000000
41,280.000000,195.000000,69.000000,a,69.000000
42,280.000000,195.000000,69.000000,a,69.000000
43,280.000000,195.000000,69.000000,a,69.000000
44,280.000000,195.000000,69.000000,a,69.000000
45,280.000000,195.000000,69.000000,a,69.000000
46,280.000000,195.000000,69.000000,a,69.000000
47,280.000000,195.000000,70.000000,a,70.000000
48,280.000000,195.000000,70.000000,a,70.000000
49,280.000000,195.000000,70.000000,a,70.000000
50,280.000000,195.000000,70.000000,a,70.000000
51,280.000000,195.000000,70.000000,a,70.000000
52,280.000000,195.000000,70.000000,a,70.000000
53,280.000000,195.000000,70.000000,a,70.000000
54,280.000000,195.000000,70.000000,a,70.000000
55,280.000000,195.000000,70.000000,a,70.000000
56,285.000000,195.000000,72.000000,a,72.000000
57,285.000000,195.000000,72.000000,a,72.000000
58,285.000000,195.000000,72.000000,a,72.000000
59,285.000000,195.000000,72.000000,a,72.000000
60,285.000000,195.000000,72.000000,a,72.000000
61,285.000000,195.000000,73.000000,a,73.000000
62,285.000000,195.000000,73.000000,a,73.000000
63,285.000000,195.000000,73.000000,a,73.000000
64,285.000000,195.000000,73.000000,a,73.000000
65,285.000000,195.000000,73.000000,a,73.000000
66,285.000000,195.000000,73.000000,a,73.000000
67,285.000000,195.000000,73.000000,a,73.000000
68,285.000000,195.000000,73.000000,a,73.000000
69,285.000000,195.000000,73.000000,a,73.000000
70,285.000000,195.000000,73.000000,a,73.000000
71,285.000000,195.000000,73.000000,a,73.000000
72,285.000000,195.000000,73.000000,a,73.000000
73,285.000000,195.000000,73.000000,a,73.000000
74,285.000000,195.000000,73.000000,a,73.000000
75,285.000000,195.000000,73.000000,a,73.000000
76,285.000000,195.000000,73.000000,a,73.000000
77,285.000000,195.000000,73.000000,a,73.000000
78,285.000000,195.000000,73.000000,a,73.000000
79,285.000000,195.000000,73.000000,a,73.000000
80,285.000000,195.000000,73.000000,a,73.000000
81,285.000000,195.000000,73.000000,a,73.000000
82,285.000000,195.000000,73.000000,a,73.000000
83,285.000000,195.000000,73.000000,a,73.000000
84,285.000000,195.000000,73.000000,a,73.000000
85,285.000000,195.000000,73.000000,a,73.000000
86,285.000000,195.000000,73.000000,a,73.000000
87,285.000000,195.000000,73.000000,a,73.000000
88,285.000000,195.000000,73.000000,a,73.000000
89,285.000000,195.000000,73.000000,a,73.000000
