generation,score
0,4618.842712
1,4510.762138
2,4618.842712
3,4442.950222
4,4328.541946
5,4247.851221
6,4247.851221
7,4582.460816
8,4582.460816
9,4171.992205
10,4153.464484
11,4543.376968
12,4582.460816
13,4836.842628
14,5164.804171
15,5000.559222
16,4996.692246
17,5000.559222
18,4774.507711
19,4751.608004
20,4487.744850
21,5007.261588
22,4900.572664
23,4843.702117
24,5048.462754
25,4825.528948
26,5048.462754
27,4854.887312
28,4971.880796
29,4232.914626
30,4278.653002
31,4278.653002
32,4099.162928
33,4099.162928
34,3710.995599
35,3873.175014
36,3873.175014
37,3876.229122
38,4018.407393
39,4018.407393
40,4018.407393
41,4077.959326
42,4162.018426
43,4020.105562
44,4162.018426
45,4162.018426
46,4162.018426
47,4162.018426
48,3738.983416
49,4214.822996
50,4068.840907
51,3800.876339
52,3800.876339
53,3800.876339
54,3800.876339
55,3800.876339
56,4148.048266
57,4047.844421
58,3699.108630
59,4475.290481
60,4261.513334
61,4244.730351
62,4244.730351
63,3805.116253
64,3805.116253
65,4069.396133
66,3906.206441
67,3793.219044
68,4069.396133
69,4069.396133
70,4069.396133
71,4069.396133
72,4298.838063
73,4298.838063
74,4185.495232
75,4056.427197
76,4056.427197
77,3883.397003
78,4029.558231
79,4053.626377
80,4072.192084
81,3760.942877
82,3499.429774
83,4072.192084
84,4056.693235
85,3934.023931
86,3972.642773
87,4007.023095
88,3619.742577
89,3706.407058
90,3567.393340
91,3526.935743
92,3567.393340
93,3567.393340
94,3596.694681
95,3656.840409
96,3580.005315
97,3656.840409
98,3770.856574
99,3770.856574
100,3753.239840
101,3841.758186
102,3698.548876
103,3819.430380
104,3722.010231
105,3787.812948
106,3775.317977
107,3775.317977
108,3775.317977
109,3562.269983
110,3562.269983
111,3416.767992
112,3531.466435
113,3531.466435
114,3531.466435
115,3736.375645
116,3736.375645
117,3565.637381
118,3565.637381
119,3357.347296
120,3414.765543
121,3445.685413
122,3357.347296
123,3519.395930
124,3901.209435
125,4013.194389
126,3830.819938
127,3861.906479
128,3701.403843
129,3701.403843
130,3701.403843
131,3701.403843
132,3505.177809
133,3701.403843
134,4161.714636
135,4280.365661
136,4025.353774
137,4203.960598
138,4132.975389
139,4132.975389
140,4123.341923
141,4123.341923
142,4037.665300
143,3949.363710
144,4019.538822
145,4132.975389
146,4132.975389
147,4132.975389
148,4132.975389
149,3641.038163
150,4132.975389
151,4132.975389
152,4132.975389
153,3972.145223
154,3972.145223
155,3972.145223
156,3972.145223
157,3932.985443
158,4299.445069
159,4515.879325
160,4361.737003
161,4361.737003
162,4318.525390
163,4225.244535
164,4235.971325
165,4201.788597
166,4157.011097
167,4336.339037
168,4245.203535
169,4288.905060
170,3874.234758
171,4336.339037
172,4336.339037
173,4245.203535
174,4336.339037
175,4336.339037
176,4215.927442
177,4013.952957
178,4271.915337
179,4491.413234
180,4537.142930
181,4326.928710
182,4164.137460
183,4325.385772
184,4325.385772
185,4620.972010
186,4579.553860
187,4127.710883
188,4597.196612
189,4516.870386
190,4475.362427
191,4620.972010
192,3890.161606
193,3890.161606
194,3894.319061
195,3890.161606
196,3890.161606
197,3890.161606
198,3890.161606
199,3890.161606
200,4029.544033
201,3881.184220
202,3784.056506
203,3604.232375
204,4029.544033
205,4029.544033
206,4022.124432
207,4022.124432
208,4225.461717
209,4207.581373
210,4241.439110
211,4188.692592
212,3946.616423
213,4088.444182
214,4088.444182
215,4088.444182
216,4088.444182
217,4003.233767
218,4088.444182
219,4088.444182
220,3805.946528
221,4081.253879
222,4081.253879
223,4023.307662
224,4081.253879
225,3864.538943
226,4022.422081
227,4081.253879
228,3806.675552
229,3623.842425
230,3623.842425
231,3614.621645
232,3708.406108
233,3642.735040
234,3642.735040
235,3642.735040
236,3642.735040
237,3870.101376
238,3903.282267
239,3903.282267
240,3903.282267
241,3903.282267
242,3895.586588
243,3693.386854
244,3815.486862
245,3599.467264
246,3807.991837
247,4098.594399
248,4393.900471
249,4001.341286
250,4215.084852
251,3927.664433
252,4378.448326
253,4378.448326
254,3850.885910
255,4378.448326
256,4378.448326
257,4010.112379
258,4179.365317
259,4179.365317
260,4179.365317
261,3997.013560
262,4455.688724
263,4165.051126
264,4165.051126
265,4165.051126
266,4165.051126
267,4509.215297
268,4089.538168
269,3974.891368
270,3705.141703
271,4147.355189
272,4278.069127
273,4272.171405
274,4465.763039
275,4193.289166
276,4267.149469
277,4353.791255
278,4333.981726
279,3762.354844
280,3994.208824
281,3819.486631
282,3800.141152
283,3800.141152
284,4154.572984
285,4142.529963
286,3750.422324
287,4077.597212
288,3861.975593
289,3650.420714
290,3417.286489
291,3340.310717
292,3650.420714
293,3650.420714
294,3650.420714
295,3650.420714
296,3905.074466
297,3818.848186
298,3460.128746
299,3959.647693
300,3754.543055
301,3487.724974
302,3754.543055
303,3576.263080
304,3824.318563
305,3578.671924
306,3553.403417
307,3547.248010
308,3553.403417
309,3553.403417
310,3553.403417
311,3603.314208
312,3285.685965
313,3285.685965
314,3649.465635
315,3702.583092
316,4213.757738
317,3932.455492
318,3615.130666
319,3932.455492
320,3932.455492
321,3932.455492
322,3932.455492
323,3735.739003
324,3803.439793
325,3803.439793
326,4139.068427
327,4643.366725
328,4364.952579
329,4364.952579
330,4049.138641
331,4110.767589
332,3824.592342
333,4364.952579
334,4261.934914
335,4088.407130
336,4084.542607
337,3571.609836
338,3571.609836
339,4124.486159
340,4380.543881
341,4287.783556
342,4326.901444
343,3937.574607
344,4348.043778
345,4056.134728
346,4174.515994
347,3790.517801
348,4102.866867
349,4327.888469
350,4284.750105
351,4174.515994
352,4339.591481
353,4217.144924
354,4114.825395
355,4217.144924
356,4174.515994
357,3979.152640
358,3980.516303
359,4174.515994
360,4342.238837
361,4342.238837
362,3968.127094
363,4342.238837
364,4208.984368
365,4229.596036
366,4229.596036
367,4229.596036
368,3671.968417
369,3671.968417
370,3712.112624
371,3712.112624
372,3712.112624
373,3712.112624
374,3712.112624
375,3712.112624
376,3652.651054
377,3712.112624
378,3648.420832
379,3562.283619
380,3491.827710
381,3476.505512
382,3405.249717
383,3405.249717
384,3648.420832
385,3648.420832
386,3365.256845
387,3562.283619
388,3648.420832
389,3803.501378
390,3803.501378
391,3803.501378
392,3803.501378
393,3803.501378
394,3803.501378
395,3658.017351
396,3526.281292
397,3526.281292
398,3436.632493
399,3122.620723
400,3526.281292
401,3526.281292
402,3526.281292
403,3441.710286
404,3441.710286
405,3441.710286
406,3314.411886
407,3352.061487
408,3939.452995
409,3939.727785
410,3736.866768
411,3736.866768
412,3812.154595
413,3812.154595
414,3679.853673
415,3812.154595
416,3812.154595
417,3812.154595
418,3880.363350
419,3945.529662
420,3814.998228
421,3814.998228
422,3748.599877
423,3748.599877
424,3748.599877
425,3809.702321
426,3850.382632
427,3961.195210
428,3961.195210
429,3830.518130
430,3689.675314
431,3689.675314
432,3689.675314
433,3986.817584
434,3986.817584
435,4117.494664
436,4020.227906
437,4020.227906
438,4020.227906
439,3993.203905
440,3774.718772
441,3485.870530
442,3485.870530
443,3485.870530
444,3336.496261
445,3449.208713
446,3485.870530
447,3543.483747
448,3245.307703
449,3378.311572
450,3322.215043
451,3337.380594
452,3337.380594
453,3337.380594
454,3333.386517
455,3333.386517
456,3337.380594
457,3337.380594
458,3337.380594
459,3337.380594
460,3337.380594
461,3337.380594
462,3337.380594
463,3337.380594
464,3337.380594
465,3264.683648
466,3337.380594
467,3337.380594
468,3337.380594
469,3337.380594
470,3337.380594
471,3337.380594
472,3337.380594
473,3195.508896
474,3337.380594
475,3818.566510
476,3735.132006
477,3888.500734
478,3890.303826
479,3890.303826
480,3664.319918
481,3664.319918
482,3664.319918
483,3765.536413
484,3808.184541
485,3808.184541
486,3808.184541
487,3808.184541
488,3746.697924
489,3746.697924
490,3746.697924
491,3347.766683
492,3643.634695
493,3577.383700
494,3343.048710
495,3599.219329
496,3676.485125
497,3746.697924
498,3659.806599
499,3599.219329
500,3599.219329
501,3746.697924
502,3588.217484
503,3746.697924
504,3633.748966
505,3534.038883
506,3711.014763
507,3588.217484
508,3588.217484
509,3588.217484
510,3440.738889
511,3411.458856
512,3588.217484
513,3588.217484
514,3987.867380
515,3868.081075
516,4012.590701
517,4162.587321
518,4162.587321
519,4162.587321
520,4162.587321
521,4156.659518
522,4162.587321
523,4162.587321
524,4162.587321
525,4018.077695
526,3919.575719
527,3945.889203
528,3890.071184
529,4229.800907
530,4019.957848
531,3740.094258
532,3486.149755
533,3691.936100
534,3691.936100
535,3691.936100
536,3647.868909
537,3412.903978
538,3395.549928
539,3395.549928
540,3395.549928
541,3395.549928
542,3372.334305
543,3395.549928
544,3395.549928
545,3395.549928
546,3369.302954
547,3395.549928
